entry_date,exit_date,direction,entry_price,exit_price,shares,entry_notional,exit_notional,commission_paid,slippage_cost,gross_pnl,net_pnl,return_pct,holding_days
2011-05-19,2011-05-20,-1,48.55371100000001,48.7073415,2051.0,99583.66126100002,99898.7574165,20.51,99.74115549998865,-315.0961554999823,-335.60615549998226,-0.003370092555849981,1
2011-05-23,2011-05-24,-1,48.309833000000005,49.4497125,2054.0,99228.396982,101569.709475,20.54,100.39849299999628,-2341.312492999984,-2361.852492999984,-0.02380218329465126,1
2011-05-25,2011-05-26,-1,49.811082,49.9219485,1945.0,96882.55449,97098.1898325,19.45,96.99034250000051,-215.63534250000038,-235.08534250000037,-0.0024264981836772826,1
2011-05-27,2011-05-31,-1,50.56170650000001,50.795385,1911.0,96623.42112150001,97069.980735,19.11,96.84661349999334,-446.559613499993,-465.66961349999303,-0.004819427920218561,1
2011-06-01,2011-06-02,-1,49.812081500000005,49.475725499999996,1931.0,96187.12937650002,95537.62594049999,19.31,95.8625639999876,649.5034360000178,630.1934360000179,0.006551743877637581,1
2011-06-03,2011-06-06,-1,49.313331000000005,48.05601599999999,1963.0,96802.06875300001,94333.95940799998,19.63,95.56865499998405,2468.109345000025,2448.4793450000248,0.025293667548031026,1
2011-06-07,2011-06-08,-1,47.724126,46.688332499999994,2080.0,99266.18208,97111.73159999998,20.8,98.1895199999883,2154.4504800000086,2133.6504800000084,0.021494233335986164,1
2011-06-09,2011-06-10,-1,47.445265500000005,46.653315,2137.0,101390.53237350001,99698.13415499999,21.37,100.54478149998474,1692.3982185000123,1671.0282185000124,0.01648110705587696,1
2011-06-13,2011-06-14,1,45.884931,46.6156805,2246.0,103057.555026,104698.81840300001,22.46,103.87862299999844,1641.2633770000039,1618.8033770000038,0.015707760353829488,1
2011-06-15,2011-06-16,-1,46.301837500000005,45.255616499999995,2261.0,104688.4545875,102322.9489065,22.61,103.506318999991,2365.5056810000224,2342.8956810000223,0.022379694974308736,1
2011-06-17,2011-06-20,-1,45.358309500000004,45.639808499999994,2360.0,107045.61042000001,107709.94805999998,23.6,107.37763999998208,-664.3376399999752,-687.9376399999752,-0.006426584306454134,1
2011-06-21,2011-06-22,-1,47.1394185,47.771874,2256.0,106346.528136,107773.347744,22.56,107.0596079999957,-1426.8196079999975,-1449.3796079999975,-0.01362883803923035,1
2011-06-23,2011-06-24,-1,47.1394185,45.92895299999999,2225.0,104885.20616249999,102191.92042499999,22.25,103.53926249998402,2693.2857375000112,2671.0357375000112,0.02546627723038215,1
2011-06-27,2011-06-28,-1,45.8560605,46.5662715,2346.0,107578.317933,109244.472939,23.46,108.41100599999896,-1666.1550060000025,-1689.6150060000025,-0.01570590652897453,1
2011-06-29,2011-06-30,-1,47.4712525,47.675826,2230.0,105860.893075,106317.09198,22.3,106.08890499999688,-456.19890500000486,-478.49890500000487,-0.004520072437524209,1
